Churn,InternetService,SeniorCitizen,gender,PhoneService,MultipleLines,Dependents,tenure,MonthlyCharges,Contract
1,2,0,0,0,0,0,1,25,0
0,2,0,1,1,0,0,41,25,1
0,2,0,0,1,0,1,52,19,0
1,2,0,0,1,0,0,1,76,1
0,1,0,1,1,0,0,67,51,0
1,1,1,0,1,1,0,68,90,0
0,1,0,0,1,1,1,23,77,0
0,2,0,1,1,0,1,72,72,0
1,1,0,1,1,1,0,70,104,0
1,2,0,1,1,0,0,1,19,1
0,2,0,1,1,0,0,1,20,0
0,2,0,1,1,0,1,34,84,2
0,1,1,1,1,1,1,28,51,1
1,1,1,0,1,1,0,18,85,0
0,1,0,0,1,0,0,15,20,0
1,1,1,0,1,1,0,11,95,2
1,2,0,1,1,0,0,11,54,1
1,1,0,1,1,1,1,1,70,2
0,2,0,0,1,0,1,37,89,0
1,1,0,1,1,0,1,22,89,0
0,2,0,0,1,0,0,1,70,0
0,2,0,0,1,0,1,1,19,1
0,2,0,1,1,0,1,46,80,0
0,2,0,0,1,1,0,51,107,2
0,2,0,0,1,0,0,41,104,0
1,2,0,0,1,0,0,5,68,0
1,1,0,0,1,1,0,45,89,0
0,2,0,1,1,0,1,29,60,0
0,2,1,0,1,1,0,15,92,2
0,2,0,1,0,0,0,72,64,0
0,1,0,1,1,1,0,50,104,2
0,1,0,1,1,0,1,27,21,0
0,2,0,1,1,0,0,72,85,1
0,2,0,0,1,0,1,51,70,0
0,2,0,0,1,0,0,60,94,0
0,1,0,1,1,1,0,17,19,2
0,1,0,0,1,0,0,72,21,0
1,1,0,0,1,0,0,33,104,0
0,1,1,0,1,1,1,66,105,0
1,1,0,0,1,1,1,69,104,0
1,2,0,1,1,0,0,5,70,1
0,2,0,0,1,1,0,57,101,2
1,2,1,0,1,0,0,8,76,1
0,2,0,0,1,1,0,14,51,2
1,2,0,1,1,1,0,25,95,0
0,1,0,0,1,1,1,52,20,0
1,2,1,0,1,0,0,7,76,0
1,1,0,1,1,0,0,13,80,0
1,2,1,0,1,1,0,15,90,2
1,2,0,1,1,1,0,22,55,2
0,1,0,0,1,1,0,19,20,0
0,1,0,1,0,0,1,23,30,0
0,2,0,0,1,1,0,72,114,0
0,1,1,1,1,1,0,72,98,0
0,2,0,0,1,0,1,59,97,1
0,1,0,0,1,1,1,70,75,0
0,1,0,1,1,1,1,70,101,1
0,1,0,1,1,1,1,9,103,1
0,2,0,0,1,1,0,3,25,2
0,1,1,1,1,1,0,17,102,2
0,1,0,0,1,1,1,28,70,0
0,1,0,0,1,1,0,10,54,0
0,2,0,1,1,0,1,11,21,2
0,2,1,1,1,0,0,72,103,1
1,1,0,1,1,1,0,8,70,0
0,2,1,1,1,0,0,69,20,0
0,1,0,0,1,1,1,39,20,1
0,2,0,1,0,0,1,67,51,2
0,2,0,1,1,0,0,39,20,2
0,1,0,1,1,0,1,54,66,0
1,2,0,0,1,0,0,1,74,0
0,2,0,0,0,0,1,72,60,1
1,1,0,1,1,1,0,10,99,2
1,2,0,1,1,1,1,13,97,2
0,2,0,0,1,0,0,35,99,0
0,1,0,1,0,1,1,12,36,1
0,2,0,1,1,0,0,31,91,1
0,2,0,0,1,0,1,53,108,0
0,2,0,1,1,0,0,1,20,0
0,2,0,1,1,1,0,30,20,1
0,1,0,0,1,0,0,46,75,0
1,2,0,0,1,0,0,19,90,0
0,1,0,0,1,0,0,23,54,0
1,1,1,0,1,0,0,15,55,0
0,2,0,1,1,0,0,48,20,2
1,1,0,1,1,1,1,25,96,0
1,2,0,1,1,0,0,52,105,1
1,2,0,1,1,0,0,12,82,2
0,2,0,0,1,0,0,48,25,2
0,2,0,0,1,0,0,38,20,0
0,1,0,0,0,0,0,18,35,0
0,1,0,0,1,0,0,45,50,0
0,2,0,1,1,1,0,12,90,2
0,1,1,0,1,1,0,66,102,0
0,1,0,0,1,1,0,72,20,2
0,1,0,0,0,1,0,70,45,0
0,2,0,0,1,1,0,27,90,1
0,2,0,1,1,0,0,1,20,0
1,2,1,1,1,0,0,13,95,2
0,1,0,0,1,0,1,65,90,0
0,2,0,0,1,0,1,14,70,0
1,2,0,0,1,0,1,17,85,0
0,1,0,0,1,1,0,31,21,1
0,2,0,1,1,0,1,24,24,1
0,1,0,0,1,1,0,3,20,2
1,2,0,1,1,0,0,17,77,0
0,1,0,1,1,1,0,66,69,1
0,2,0,1,1,0,0,45,53,1
0,1,0,1,1,1,0,35,92,1
0,2,0,1,0,0,1,40,40,2
1,1,0,0,1,1,0,10,85,0
0,2,0,0,1,0,0,52,64,1
0,1,0,0,1,0,0,13,19,0
0,1,1,0,1,1,0,43,90,0
0,2,0,0,1,0,0,41,20,2
0,1,1,0,0,0,0,52,50,0
0,2,0,0,1,0,0,71,93,2
0,1,0,1,1,1,0,61,106,0
0,2,0,0,0,0,0,26,44,2
0,1,0,1,1,1,1,72,68,0
0,1,0,0,1,1,0,42,78,1
0,2,0,0,1,0,1,57,65,0
0,1,0,1,1,1,1,9,20,0
1,2,0,0,1,0,0,9,71,0
0,2,0,1,1,0,0,33,45,0
0,1,0,1,1,0,0,1,19,2
1,1,0,0,1,1,0,7,79,0
1,2,0,1,1,1,0,1,72,2
0,2,0,1,1,0,1,65,20,0
1,2,0,1,1,0,0,10,86,1
0,1,0,1,1,1,0,70,95,0
1,2,0,0,1,0,0,29,99,0
1,2,0,1,1,0,1,21,104,2
1,2,0,1,1,0,0,1,91,0
0,2,0,1,1,0,0,5,20,0
0,2,0,1,1,1,0,56,90,2
1,1,0,1,1,0,1,35,85,0
0,2,0,1,1,0,1,10,20,2
0,2,0,0,0,0,0,31,50,2
1,1,1,1,1,0,0,37,86,0
1,2,1,1,1,1,0,57,95,2
0,2,0,0,1,1,1,34,26,0
1,1,0,0,1,1,0,3,99,2
0,1,0,0,1,1,0,4,83,1
0,2,0,0,1,1,0,54,20,2
0,1,0,1,1,1,1,6,20,2
0,2,0,1,1,0,0,22,60,1
0,2,0,1,1,0,0,23,97,0
0,2,0,0,1,0,0,68,58,1
0,2,0,0,1,0,1,48,20,0
0,2,0,1,1,0,1,34,21,0
0,1,0,0,1,1,0,41,80,0
0,1,0,1,1,1,0,9,76,1
0,2,1,0,1,0,0,18,104,2
0,2,0,1,1,0,0,35,96,0
0,1,0,1,1,0,1,55,79,0
0,1,0,1,1,1,0,54,108,0
1,2,1,0,1,0,0,2,79,1
0,2,0,1,1,0,0,52,106,2
0,2,0,1,1,1,0,72,70,2
0,2,0,1,1,0,0,9,70,0
0,1,0,0,1,1,1,3,70,0
0,1,1,1,1,0,0,4,75,0
0,2,0,1,1,1,1,69,76,2
0,2,0,0,0,0,1,67,36,1
1,2,0,1,1,0,0,4,80,2
1,1,0,1,0,0,0,13,46,0
0,2,0,0,1,1,1,45,81,2
0,2,0,1,1,0,0,68,101,0
0,2,0,0,1,0,1,69,74,0
0,1,0,0,0,0,0,70,58,1
1,1,0,0,1,1,0,1,20,0
0,2,0,0,1,0,1,45,26,2
0,1,0,0,1,0,1,37,20,1
0,2,0,0,0,0,1,10,40,1
0,2,0,0,1,1,1,1,89,0
0,1,0,1,1,1,1,29,69,0
0,1,1,1,1,0,1,72,104,0
1,1,0,0,1,1,0,2,76,0
0,2,0,1,1,0,0,24,54,1
1,2,0,0,1,0,0,4,79,0
0,2,0,1,1,0,0,72,19,0
0,1,0,0,1,1,0,11,79,0
0,2,0,0,1,0,1,44,20,1
0,1,0,1,1,0,1,62,20,0
0,2,0,1,1,0,1,70,25,0
1,2,1,0,0,0,0,1,25,0
1,2,0,0,1,0,0,4,106,0
1,2,1,0,1,0,0,2,86,1
0,2,0,0,1,1,0,41,56,0
1,2,1,0,1,1,0,1,19,1
0,1,1,1,1,0,0,72,84,0
0,2,0,0,1,0,0,63,109,2
0,1,0,1,1,1,0,68,80,2
0,2,1,0,1,0,0,59,100,2
0,1,1,1,0,0,0,52,49,0
1,2,1,1,1,1,1,26,106,2
0,1,0,1,0,1,0,66,57,0
0,1,1,0,1,1,0,56,96,2
0,2,0,0,1,0,0,72,79,0
0,1,1,1,1,0,0,2,70,1
0,1,0,1,1,0,0,68,117,0
0,1,0,1,1,1,1,61,85,2
0,1,0,1,1,0,0,1,20,0
0,1,0,1,1,0,0,2,20,0
1,1,0,0,1,0,0,2,20,1
0,2,1,1,1,0,1,68,85,2
0,1,0,1,1,0,0,9,68,0
1,1,0,1,1,0,0,13,83,0
0,1,0,0,1,0,0,22,20,1
0,2,0,1,1,0,1,66,25,0
0,2,0,1,1,0,1,8,20,0
0,2,0,1,1,0,1,2,70,2
0,2,0,1,1,0,0,3,56,1
1,1,0,1,1,1,0,5,92,0
0,2,0,1,1,0,0,13,20,0
0,2,0,1,1,0,1,53,65,2
0,2,0,1,1,0,0,3,20,2
0,2,0,1,1,1,0,46,95,2
0,1,0,0,0,0,0,39,40,0
0,1,0,0,1,0,1,30,108,0
0,2,0,0,1,1,0,23,99,2
0,2,0,1,1,0,1,40,20,1
0,2,0,0,1,0,0,45,63,0
0,2,0,1,1,0,0,53,20,1
0,2,1,0,1,0,0,72,112,1
0,2,0,1,1,0,1,28,20,1
0,2,0,0,1,0,0,49,67,0
1,1,0,1,1,1,0,1,75,0
0,2,0,0,1,1,0,20,81,2
0,1,0,0,1,1,1,53,61,2
0,1,0,1,1,0,0,67,69,0
1,1,0,1,1,0,0,11,74,0
0,2,0,0,1,0,1,52,86,2
1,2,0,0,1,1,0,1,91,0
0,2,0,0,1,1,0,48,56,0
1,2,0,0,1,0,0,7,75,2
0,1,0,1,1,1,1,7,71,0
0,1,0,0,1,0,1,12,84,0
0,2,0,1,1,0,0,40,25,2
0,2,0,1,1,1,0,55,78,2
0,1,0,0,1,1,0,20,20,2
1,2,0,1,0,0,0,1,36,1
0,1,0,0,1,0,1,72,84,0
